EnglishName,NepaliName,District,Election,Gender,party
Nagina Yadav,नागिना यादव,Mahottari,Proportion,Female,nepalicongress
Nainakala Thapa,नैनकला थापा,Chitwan,Proportion,Female,NCP(UML)
Narayan Prakash Saud,नारायण प्रकाश साउद,Kanchanpur,Direct,Male,nepalicongress
Narayan Prasad Acharya,नारायण प्रसाद आचार्य,Palpa,Direct,Male,NCP(UML)
Narayani Sharma,नारायणी शर्मा,Dang,Proportion,Female,MoistCenter
Nawal Kishor Shah Sudi,नवल किशोर शाह सुडी,Saptari,Direct,Male,JanataSamajbadiparty
Nirmala Koirala,निर्मला कोइराला,Parsa,Proportion,Female,NCP(UML)
Nisha Dangi,निशा डागी,Jhapa,Proportion,Female,NationalindependentParty
Padam Giri,पदम गिरी,Parbat,Direct,Male,NCP(UML)
Pashupati Shumshera J.B.Rana  ,पशुपति शमशेर ज.ब.रा.,Sindhupalchowk,Proportion,Male,RastriyaPrajatantraParty
Prabhu Hajara Dushadh,प्रभु हजरा,Parsa,Proportion,Male,NCP(UML)
Prabhu Shah,प्रभु साह,Rautahat,Direct,Male,aamJanataparty
Pradip Paudel,प्रदिप पौडेल,Kathmandu,Direct,Male,nepalicongress
Pradip Yadav,प्रदीप यादव,Parsa,Direct,Male,JanataSamajbadiparty
Prakash Adhikari,प्रकाश अधिकारी ,Siraha,Proportion,Male,SamajbadiParty
Prakash Jwala,प्रकाश ज्वाला,Salyan,Direct,Male,NCP(Unified Socialist)
Prakash Man Singh,प्रकाश मान सिंह,Kathmandu,Direct,Male,nepalicongress
Pratikshya Tiwari,प्रतिक्षा तिवारी,Dhanusa,Proportion,Female,NCP(UML)
Pratima Gautam,प्रतिमा गौतम,Kathmandu,Proportion,Female,nepalicongress
Prem Bahadur Ale,प्रेम बहादुर आले,Doti,Direct,Male,NCP(Unified Socialist)
Prem Bahadur Maharjan,प्रेम बहादुर महर्जन,Lalitpur,Direct,Male,NCP(UML)
Prem Suwal,प्रेम सुवाल,Bhaktapur,Direct,Male,MajdurKishanParty
Prithvi Subba Gurung,पृथ्वी सुब्बा गुरुङ,Lamjung,Direct,Male,NCP(UML)
Purna Bahadur Gharti,पुर्णबहादुर घर्ति,Rukum East,Direct,Male,MoistCenter
Purna Bahadur Khadka,पूर्ण वहादुर खड्का,Surkhet,Direct,Male,nepalicongress
Purna Bahadur Tamang,पूर्ण बहादुर तामाङ्ग,Ramechhap,Direct,Male,nepalicongress
Pushpa Kamal Dahal (Prachanda),पुष्प कमल दाहाल (प्रचण्ड),Gorkha,Direct,Male,MoistCenter
Pusp Bahadur Shah,पुष्प वहादुर शाह,Achham,Direct,Male,nepalicongress
Raghubir Mahaseth,रघुवीर महासेठ,Dhanusa,Direct,Male,NCP(UML)
Raghuji Pant,रघुजी पन्त,Kathmandu,Proportion,Male,NCP(UML)
Raj Kishor Yadav,राज किशोर यादव,Siraha,Direct,Male,SamajbadiParty
Raj Kumar Gupta,राज कुमार गुप्ता,Parsa,Direct,Male,NCP(UML)
Rajendra Bajgain,राजेन्द्र बजगाई,Gorkha,Direct,Male,nepalicongress
Rajendra Kumar K.C.,राजेन्द्र कुमार के.सी.,Kathmandu,Direct,Male,nepalicongress
Rajendra Kumar Rai,राजेन्द्र कुमार राई,Dhankuta,Direct,Male,NCP(UML)
Rajendra Prasad Lingdel,राजेन्द्र प्रसाद लिङ्देन,Jhapa,Direct,Male,RastriyaPrajatantraParty
